week,entry_price,exit_price,signal,strategy_ret,cum_return
2023-01-06,76.93000030517578,75.12000274658203,-1,0.022527850661817492,1.0225278506618174
2023-01-13,75.12000274658203,80.18000030517578,1,0.06635885747586691,1.0903816305689895
2023-01-20,80.18000030517578,80.12999725341797,-1,-0.0003763650340796432,1.0899712490494406
2023-01-27,80.12999725341797,78.87000274658203,-1,0.014724379758195887,1.1060203996459599
2023-02-03,78.87000274658203,77.13999938964844,-1,0.02093487126521707,1.129174794329252
2023-02-10,77.13999938964844,79.05999755859375,1,0.02388978719389205,1.1561505398704848
2023-02-17,79.05999755859375,76.16000366210938,-1,0.03568092570247174,1.1974030613844762
2023-02-24,76.16000366210938,77.05000305175781,1,0.010685915793767539,1.21019840966963
2023-03-03,77.05000305175781,77.58000183105469,1,0.005878634111680073,1.217312723322615
2023-03-10,77.58000183105469,71.33000183105469,-1,0.07956199861416054,1.3141645565286089
2023-03-17,71.33000183105469,69.33000183105469,-1,0.027038692677129123,1.3496978480997617
2023-03-24,69.33000183105469,73.19999694824219,1,0.05481991944292766,1.4236881754048836
2023-03-31,73.19999694824219,80.70999908447266,1,0.10159566187605985,1.5683287178902627
2023-04-07,80.70999908447266,81.52999877929688,1,0.009159827829585167,1.5826943389263317
2023-04-14,81.52999877929688,80.86000061035156,-1,0.00721781159054116,1.5941179284701181
2023-04-21,80.86000061035156,77.06999969482422,-1,0.04587114626415368,1.6672419451292806
2023-04-28,77.06999969482422,71.66000366210938,-1,0.06919587458332586,1.7826082096645066
2023-05-05,71.66000366210938,73.70999908447266,1,0.02760724696623519,1.831821114752753
2023-05-12,73.70999908447266,70.86000061035156,-1,0.037665018444172776,1.9008166908263404
2023-05-19,70.86000061035156,72.91000366210938,1,0.027930327887385573,1.953907124254935
2023-05-26,72.91000366210938,69.45999908447266,-1,0.04631867239542676,2.0444095082343896
2023-06-02,69.45999908447266,71.73999786376953,1,0.03182463013747079,2.1094720846834774
2023-06-09,71.73999786376953,69.41999816894531,-1,0.03133899866054883,2.175580827519838
2023-06-16,69.41999816894531,70.5,1,0.014557503018457596,2.207251851983356
2023-06-23,70.5,67.69999694824219,-1,0.038716355344082444,2.292708599018628
2023-06-30,67.69999694824219,69.79000091552734,1,0.02987155186850304,2.361195362853576
2023-07-07,69.79000091552734,74.83000183105469,1,0.07121666212080549,2.5293518152111316
2023-07-14,74.83000183105469,75.75,1,0.01129450950732852,2.5579196033354124
2023-07-21,75.75,79.62999725341797,1,0.05022108585370256,2.686381103341389
2023-07-28,79.62999725341797,81.37000274658203,1,0.020851130895139847,2.7423951873613905
2023-08-04,81.37000274658203,82.91999816894531,1,0.018048732580120123,2.7918919447270847
2023-08-11,82.91999816894531,80.98999786376953,-1,0.022275450407554315,2.8540825952851034
2023-08-18,80.98999786376953,80.3499984741211,-1,0.006902202821698529,2.8737820522276407
2023-08-25,80.3499984741211,81.16000366210938,1,0.009080960838464304,2.8998787545022013
2023-09-01,81.16000366210938,86.69000244140625,1,0.06713699519186479,3.0945679005002065
2023-09-08,86.69000244140625,88.83999633789062,1,0.023800944006635082,3.1682215378247425
2023-09-15,88.83999633789062,91.1999969482422,1,0.02556461850105938,3.2492159127660716
2023-09-22,91.1999969482422,90.38999938964844,1,-0.00988155247475999,3.2171086152222483
2023-09-29,90.38999938964844,89.2300033569336,1,-0.013833234213382326,3.172605598257989
2023-10-06,89.2300033569336,85.97000122070312,1,-0.037534820280012364,3.0535224173080144
2023-10-13,85.97000122070312,86.66000366210938,1,0.007026083885178368,3.074976721957293
2023-10-20,86.66000366210938,83.73999786376953,-1,0.03269496509283633,3.175512978542971
2023-10-27,83.73999786376953,81.0199966430664,-1,0.03148150573311568,3.2754829085825548
2023-11-03,81.0199966430664,77.37000274658203,-1,0.04405053132209352,3.4197696710420527
2023-11-10,77.37000274658203,78.26000213623047,1,0.01050315830495114,3.455688053263478
2023-11-17,78.26000213623047,77.7699966430664,-1,0.005261250700084181,3.473869294452983
2023-11-24,77.7699966430664,76.41000366210938,-1,0.01648737353299451,3.5311442751154294
2023-12-01,76.41000366210938,72.31999969482422,-1,0.05252707461409704,3.7166249539275595
2023-12-08,72.31999969482422,68.61000061035156,-1,0.05029976631814301,3.9035703206022947
2023-12-15,68.61000061035156,73.44000244140625,1,0.06939792724219797,4.174470009696257
2023-12-22,73.44000244140625,75.56999969482422,1,0.02800322961069312,4.291368651880733
2023-12-29,75.56999969482422,70.37999725341797,-1,0.06767807942788324,4.581800240357046
2024-01-05,70.37999725341797,72.23999786376953,1,0.02542797219292634,4.698306129462387
2024-01-12,72.23999786376953,72.4000015258789,1,0.0012148901832902946,4.704014055457163
2024-01-19,72.4000015258789,74.37000274658203,1,0.026209961038453307,4.827306080575033
2024-01-26,74.37000274658203,77.81999969482422,1,0.0453896305073183,5.046415719918064
2024-02-02,77.81999969482422,73.30999755859375,-1,0.05695428108348383,5.333830699294389
2024-02-09,73.30999755859375,77.87000274658203,1,0.0612016824423388,5.660270111953802
2024-02-16,77.87000274658203,78.18000030517578,1,0.0029809624715514318,5.67714316473638
2024-02-23,78.18000030517578,78.87000274658203,1,0.007825817839764954,5.721571452993874
2024-03-01,78.87000274658203,78.1500015258789,-1,0.008128961526939055,5.768081887208894
2024-03-08,78.1500015258789,77.55999755859375,-1,0.00654963475067598,5.805860716782102
2024-03-15,77.55999755859375,83.47000122070312,1,0.07519912130147481,6.2424563410828675
2024-03-22,83.47000122070312,81.62000274658203,-1,0.021163633006659608,6.37456939614564
